Date,TA,PAR,FC
01/01/11 01:00:00,-21.91062,0,
01/01/11 04:00:00,-21.50689,0,
01/01/11 07:00:00,-18.40247,0,
01/01/11 10:00:00,-15.21171,22.77,
01/01/11 13:00:00,-10.07761,114.96375,
01/01/11 16:00:00,-6.7074,126.34875,
01/01/11 19:00:00,-5.32072,3.465,
01/01/11 22:00:00,-4.98221,0,
01/02/11 01:00:00,-10.47224,0,
01/02/11 04:00:00,-14.01121,0,
01/02/11 07:00:00,-16.26395,0,
01/02/11 10:00:00,-15.93882,13.6125,
01/02/11 13:00:00,-14.9907,146.64375,
01/02/11 16:00:00,-14.8729,118.67625,
01/02/11 19:00:00,-15.0727,2.10375,
01/02/11 22:00:00,-14.57285,0,
01/03/11 01:00:00,-14.81879,0,
01/03/11 04:00:00,-15.96476,0,
01/03/11 07:00:00,-16.44749,0,
01/03/11 10:00:00,-16.06,33.78375,
01/03/11 13:00:00,-14.98176,381.52125,
01/03/11 16:00:00,-15.45966,341.67375,
01/03/11 19:00:00,-19.95817,7.05375,
01/03/11 22:00:00,-22.16256,0,
01/04/11 01:00:00,-24.14153,0,
01/04/11 04:00:00,-25.82397,0,
01/04/11 07:00:00,-27.41915,0,
01/04/11 10:00:00,-25.28243,40.71375,
01/04/11 13:00:00,-19.17411,415.18125,
01/04/11 16:00:00,-17.90919,340.43625,
01/04/11 19:00:00,-20.13596,6.93,
01/04/11 22:00:00,-18.81325,0,
01/05/11 01:00:00,-18.22364,0,
01/05/11 04:00:00,-17.77978,0,
01/05/11 07:00:00,-17.43003,0,
01/05/11 10:00:00,-16.85197,25.9875,
01/05/11 13:00:00,-14.21308,300.465,
01/05/11 16:00:00,-14.94944,289.69875,
01/05/11 19:00:00,-17.99467,7.05375,
01/05/11 22:00:00,-16.52921,0,
01/06/11 01:00:00,-17.16645,0,
01/06/11 04:00:00,-18.90923,0,
01/06/11 07:00:00,-19.93386,0,
01/06/11 10:00:00,-19.9721,37.125,
01/06/11 13:00:00,-17.76064,362.71125,
01/06/11 16:00:00,-17.2726,276.33375,
01/06/11 19:00:00,-17.32589,3.2175,
01/06/11 22:00:00,-17.4612,0,
01/07/11 01:00:00,-17.56811,0,
01/07/11 04:00:00,-17.46369,0,
01/07/11 07:00:00,-17.17025,0,
01/07/11 10:00:00,-16.55399,15.345,
01/07/11 13:00:00,-14.59827,170.89875,
01/07/11 16:00:00,-13.76639,245.52,
01/07/11 19:00:00,-15.52433,7.54875,
01/07/11 22:00:00,-17.91421,0,
01/08/11 01:00:00,-20.03477,0,
01/08/11 04:00:00,-23.80079,0,
01/08/11 07:00:00,-22.738,0,
01/08/11 10:00:00,-18.42588,31.80375,
01/08/11 13:00:00,-12.19163,285.98625,
01/08/11 16:00:00,-10.63889,236.23875,
01/08/11 19:00:00,-11.09046,6.1875,
01/08/11 22:00:00,-11.80985,0,
01/09/11 01:00:00,-11.81528,0,
01/09/11 04:00:00,-12.25614,0,
01/09/11 07:00:00,-12.00339,0,
01/09/11 10:00:00,-11.50339,30.9375,
01/09/11 13:00:00,-9.07578,347.49,
01/09/11 16:00:00,-8.47135,330.165,
01/09/11 19:00:00,-10.28022,10.27125,
01/09/11 22:00:00,-12.69608,0,
01/10/11 01:00:00,-14.90418,0,
01/10/11 04:00:00,-15.8805,0,
01/10/11 07:00:00,-14.91306,0,
01/10/11 10:00:00,-14.49286,46.15875,
01/10/11 13:00:00,-9.98392,454.78125,
01/10/11 16:00:00,-10.1771,392.65875,
01/10/11 19:00:00,-11.70191,11.50875,
01/10/11 22:00:00,-13.66794,0,
01/11/11 01:00:00,-13.22498,0,
01/11/11 04:00:00,-13.41794,0,
01/11/11 07:00:00,-12.99418,0,
01/11/11 10:00:00,-13.01584,43.93125,
01/11/11 13:00:00,-8.27665,425.205,
01/11/11 16:00:00,-8.16434,370.0125,
01/11/11 19:00:00,-10.16779,12.99375,
01/11/11 22:00:00,-10.90717,0,
01/12/11 01:00:00,-10.995,0,
01/12/11 04:00:00,-11.2367,0,
01/12/11 07:00:00,-11.52238,0,
01/12/11 10:00:00,-11.59449,38.8575,
01/12/11 13:00:00,-9.05112,360.48375,
01/12/11 16:00:00,-9.06797,308.01375,
01/12/11 19:00:00,-9.86207,10.51875,
01/12/11 22:00:00,-10.31992,0,
01/13/11 01:00:00,-10.89338,0,
01/13/11 04:00:00,-11.63883,0,
01/13/11 07:00:00,-12.1348,0,
01/13/11 10:00:00,-12.46183,30.195,
01/13/11 13:00:00,-11.23362,283.635,
01/13/11 16:00:00,-10.99406,254.30625,
01/13/11 19:00:00,-12.58298,10.1475,
01/13/11 22:00:00,-13.09885,0,
01/14/11 01:00:00,-13.88572,0,
01/14/11 04:00:00,-14.43662,0,
01/14/11 07:00:00,-14.97916,0,
01/14/11 10:00:00,-14.22782,44.92125,
01/14/11 13:00:00,-11.89713,418.5225,
01/14/11 16:00:00,-11.56785,370.755,
01/14/11 19:00:00,-14.39509,16.21125,
01/14/11 22:00:00,-15.14939,0,
01/15/11 01:00:00,-15.95075,0,
01/15/11 04:00:00,-17.57017,0,
01/15/11 07:00:00,-19.07328,0,
01/15/11 10:00:00,-18.85628,48.63375,
01/15/11 13:00:00,-17.91619,389.8125,
01/15/11 16:00:00,-18.87371,378.79875,
01/15/11 19:00:00,-23.45403,14.72625,
01/15/11 22:00:00,-23.67762,0,
01/16/11 01:00:00,-24.5844,0,
01/16/11 04:00:00,-24.95118,0,
01/16/11 07:00:00,-23.9425,0,
01/16/11 10:00:00,-21.21631,23.76,
01/16/11 13:00:00,-17.97541,337.3425,
01/16/11 16:00:00,-18.18261,385.48125,
01/16/11 19:00:00,-23.16263,20.79,
01/16/11 22:00:00,-26.11068,0,
01/17/11 01:00:00,-27.08742,0,
01/17/11 04:00:00,-24.95283,0,
01/17/11 07:00:00,-23.67591,0,
01/17/11 10:00:00,-21.8373,21.285,
01/17/11 13:00:00,-18.08367,183.02625,
01/17/11 16:00:00,-16.59702,162.855,
01/17/11 19:00:00,-16.82819,9.77625,
01/17/11 22:00:00,-17.12021,0,
01/18/11 01:00:00,-17.8019,0,
01/18/11 04:00:00,-20.33707,0,
01/18/11 07:00:00,-23.33761,0,
01/18/11 10:00:00,-24.96282,55.81125,
01/18/11 13:00:00,-21.50361,487.08,
01/18/11 16:00:00,-21.44807,443.64375,
01/18/11 19:00:00,-26.02743,25.12125,
01/18/11 22:00:00,-27.92307,0,
01/19/11 01:00:00,-28.94477,0,
01/19/11 04:00:00,-29.49734,0,
01/19/11 07:00:00,-29.36887,0,
01/19/11 10:00:00,-26.9108,61.75125,
01/19/11 13:00:00,-20.45519,470.37375,
01/19/11 16:00:00,-18.96355,433.00125,
01/19/11 19:00:00,-22.86396,26.73,
01/19/11 22:00:00,-24.39593,0,
01/20/11 01:00:00,-26.14191,0,
01/20/11 04:00:00,-27.17084,0,
01/20/11 07:00:00,-26.32128,0,
01/20/11 10:00:00,-23.43148,56.43,
01/20/11 13:00:00,-17.93204,463.32,
01/20/11 16:00:00,-16.5539,422.85375,
01/20/11 19:00:00,-17.82934,10.6425,
01/20/11 22:00:00,-18.96416,0,
01/21/11 01:00:00,-20.59835,0,
01/21/11 04:00:00,-22.83593,0,
01/21/11 07:00:00,-25.22973,0,
01/21/11 10:00:00,-27.85784,30.69,
01/21/11 13:00:00,-26.94649,392.04,
01/21/11 16:00:00,-27.53548,507.375,
01/21/11 19:00:00,-34.05369,36.135,
01/21/11 22:00:00,-36.77033,0,
01/22/11 01:00:00,-35.97581,0,
01/22/11 04:00:00,-36.3151,0,
01/22/11 07:00:00,-36.08541,0,
01/22/11 10:00:00,-34.73478,71.28,
01/22/11 13:00:00,-28.99709,522.225,
01/22/11 16:00:00,-27.13045,482.8725,
01/22/11 19:00:00,-32.02354,34.52625,
01/22/11 22:00:00,-33.93596,0,
01/23/11 01:00:00,-34.85525,0,
01/23/11 04:00:00,-35.20783,0,
01/23/11 07:00:00,-35.55021,0,
01/23/11 10:00:00,-29.84476,54.82125,
01/23/11 13:00:00,-24.37668,438.19875,
01/23/11 16:00:00,-21.98583,396.99,
01/23/11 19:00:00,-25.97841,32.05125,
01/23/11 22:00:00,-25.42101,0,
01/24/11 01:00:00,-30.7721,0,
01/24/11 04:00:00,-28.89477,0,
01/24/11 07:00:00,-27.94295,0,
01/24/11 10:00:00,-24.21932,50.49,
01/24/11 13:00:00,-19.80027,379.17,
01/24/11 16:00:00,-18.6133,372.4875,
01/24/11 19:00:00,-19.70815,30.31875,
01/24/11 22:00:00,-19.66399,0,
01/25/11 01:00:00,-19.78716,0,
01/25/11 04:00:00,-20.43191,0,
01/25/11 07:00:00,-19.63317,0,
01/25/11 10:00:00,-18.01952,57.915,
01/25/11 13:00:00,-15.33756,264.0825,
01/25/11 16:00:00,-13.27561,272.0025,
01/25/11 19:00:00,-13.14655,14.6025,
01/25/11 22:00:00,-13.11619,0,
01/26/11 01:00:00,-16.10029,0,
01/26/11 04:00:00,-19.62673,0,
01/26/11 07:00:00,-24.16971,0,
01/26/11 10:00:00,-26.9267,88.3575,
01/26/11 13:00:00,-23.93369,634.46625,
01/26/11 16:00:00,-22.91036,580.14,
01/26/11 19:00:00,-26.50518,49.5,
01/26/11 22:00:00,-28.3299,0,
01/27/11 01:00:00,-29.70348,0,
01/27/11 04:00:00,-27.09395,0,
01/27/11 07:00:00,-25.45994,0,
01/27/11 10:00:00,-21.96328,30.9375,
01/27/11 13:00:00,-18.58993,335.61,
01/27/11 16:00:00,-18.48746,405.77625,
01/27/11 19:00:00,-21.05724,38.73375,
01/27/11 22:00:00,-23.36834,0,
01/28/11 01:00:00,-25.69968,0,
01/28/11 04:00:00,-31.13405,0,
01/28/11 07:00:00,-36.48376,0,
01/28/11 10:00:00,-34.90676,95.90625,
01/28/11 13:00:00,-27.26069,659.5875,
01/28/11 16:00:00,-24.84089,609.96375,
01/28/11 19:00:00,-32.1233,57.915,
01/28/11 22:00:00,-34.46415,0,
01/29/11 01:00:00,-34.99085,0,
01/29/11 04:00:00,-35.55654,0,
01/29/11 07:00:00,-36.17875,0,
01/29/11 10:00:00,-33.67217,99.12375,
01/29/11 13:00:00,-26.05417,628.65,
01/29/11 16:00:00,-23.34745,580.635,
01/29/11 19:00:00,-26.94399,57.79125,
01/29/11 22:00:00,-28.8583,0,
01/30/11 01:00:00,-26.91479,0,
01/30/11 04:00:00,-30.72597,0,
01/30/11 07:00:00,-36.17153,0,
01/30/11 10:00:00,-34.78181,107.29125,
01/30/11 13:00:00,-28.68792,684.09,
01/30/11 16:00:00,-26.8185,632.23875,
01/30/11 19:00:00,-28.05868,60.39,
01/30/11 22:00:00,-29.50912,0,
01/31/11 01:00:00,-29.74337,0,
01/31/11 04:00:00,-28.84032,0,
01/31/11 07:00:00,-28.02083,0,
01/31/11 10:00:00,-23.44745,72.27,
01/31/11 13:00:00,-19.66895,479.16,
01/31/11 16:00:00,-17.97852,454.41,
01/31/11 19:00:00,-18.71119,46.65375,
01/31/11 22:00:00,-19.33294,0,
02/01/11 01:00:00,-19.40763,0,
02/01/11 04:00:00,-19.86764,0,
02/01/11 07:00:00,-20.64068,0,
02/01/11 10:00:00,-20.94324,88.97625,
02/01/11 13:00:00,-19.27015,600.1875,
