Date,gmax
2001-01-01,05/17/01 00:00:00
2002-01-01,06/19/02 00:00:00
2003-01-01,05/04/03 00:00:00
2004-01-01,06/25/04 00:00:00
2005-01-01,06/02/05 00:00:00
2006-01-01,05/22/06 00:00:00
2007-01-01,06/04/07 00:00:00
2008-01-01,06/29/08 00:00:00
2009-01-01,07/04/09 00:00:00
2010-01-01,06/04/10 00:00:00
2011-01-01,06/10/11 00:00:00
2012-01-01,06/09/12 00:00:00
2013-01-01,06/13/13 00:00:00
2014-01-01,06/22/14 00:00:00
2015-01-01,05/28/15 00:00:00
2016-01-01,05/29/16 00:00:00
2017-01-01,06/26/17 00:00:00
2018-01-01,06/01/18 00:00:00
