Date,TA,PAR,FC
01/01/07 00:00:00,-14.05277,0,
01/01/07 03:00:00,-12.42594,0,
01/01/07 06:00:00,-12.30265,0,
01/01/07 09:00:00,-19.16184,0,
01/01/07 12:00:00,-18.19279,162.855,
01/01/07 15:00:00,-18.76267,223.74,
01/01/07 18:00:00,-17.42798,2.84625,
01/01/07 21:00:00,-19.51464,0,
01/02/07 00:00:00,-20.52544,0,
01/02/07 03:00:00,-21.00788,0,
01/02/07 06:00:00,-20.64155,0,
01/02/07 09:00:00,-16.90818,0,
01/02/07 12:00:00,-11.86472,120.40875,
01/02/07 15:00:00,-9.67582,113.1075,
01/02/07 18:00:00,-8.90299,2.35125,
01/02/07 21:00:00,-7.66007,0,
01/03/07 00:00:00,-8.3646,0,
01/03/07 03:00:00,-11.54127,0,
01/03/07 06:00:00,-14.26798,0,
01/03/07 09:00:00,-15.5322,0,
01/03/07 12:00:00,-15.52503,161.865,
01/03/07 15:00:00,-12.80002,204.55875,
01/03/07 18:00:00,-12.78831,3.83625,
01/03/07 21:00:00,-13.32831,0,
01/04/07 00:00:00,-13.5846,0,
01/04/07 03:00:00,-14.00834,0,
01/04/07 06:00:00,-14.3856,0,
01/04/07 09:00:00,-13.25541,0,
01/04/07 12:00:00,-13.0333,117.43875,
01/04/07 15:00:00,-13.14902,166.5675,
01/04/07 18:00:00,-14.18607,3.465,
01/04/07 21:00:00,-16.41755,0,
01/05/07 00:00:00,-18.48977,0,
01/05/07 03:00:00,-23.63616,0,
01/05/07 06:00:00,-26.14124,0,
01/05/07 09:00:00,-27.75016,0,
01/05/07 12:00:00,-24.24865,167.5575,
01/05/07 15:00:00,-24.43651,237.105,
01/05/07 18:00:00,-26.56756,5.94,
01/05/07 21:00:00,-27.02051,0,
01/06/07 00:00:00,-26.76267,0,
01/06/07 03:00:00,-26.37134,0,
01/06/07 06:00:00,-26.40987,0,
01/06/07 09:00:00,-21.5599,0,
01/06/07 12:00:00,-17.99406,128.08125,
01/06/07 15:00:00,-16.22721,182.28375,
01/06/07 18:00:00,-16.28202,4.82625,
01/06/07 21:00:00,-15.82712,0,
01/07/07 00:00:00,-15.28528,0,
01/07/07 03:00:00,-14.84995,0,
01/07/07 06:00:00,-14.06385,0,
01/07/07 09:00:00,-12.70957,0,
01/07/07 12:00:00,-10.41001,111.6225,
01/07/07 15:00:00,-9.53516,152.2125,
01/07/07 18:00:00,-10.41944,4.57875,
01/07/07 21:00:00,-11.30817,0,
01/08/07 00:00:00,-11.95548,0,
01/08/07 03:00:00,-12.1616,0,
01/08/07 06:00:00,-12.99119,0,
01/08/07 09:00:00,-13.20402,0,
01/08/07 12:00:00,-12.68619,102.83625,
01/08/07 15:00:00,-13.02427,137.48625,
01/08/07 18:00:00,-14.22758,4.08375,
01/08/07 21:00:00,-15.20991,0,
01/09/07 00:00:00,-15.90287,0,
01/09/07 03:00:00,-16.44523,0,
01/09/07 06:00:00,-16.87327,0,
01/09/07 09:00:00,-17.86992,0,
01/09/07 12:00:00,-17.73896,73.5075,
01/09/07 15:00:00,-19.0891,106.30125,
01/09/07 18:00:00,-20.92557,3.96,
01/09/07 21:00:00,-23.07441,0,
01/10/07 00:00:00,-24.43325,0,
01/10/07 03:00:00,-25.65264,0,
01/10/07 06:00:00,-25.74212,0,
01/10/07 09:00:00,-25.65897,0,
01/10/07 12:00:00,-23.97718,163.5975,
01/10/07 15:00:00,-23.13935,234.50625,
01/10/07 18:00:00,-23.77486,8.6625,
01/10/07 21:00:00,-26.49993,0,
01/11/07 00:00:00,-28.16247,0,
01/11/07 03:00:00,-29.08486,0,
01/11/07 06:00:00,-33.65652,0,
01/11/07 09:00:00,-34.48327,0,
01/11/07 12:00:00,-30.27625,204.80625,
01/11/07 15:00:00,-30.51462,288.585,
01/11/07 18:00:00,-32.51269,12.6225,
01/11/07 21:00:00,-33.01385,0,
01/12/07 00:00:00,-32.71076,0,
01/12/07 03:00:00,-32.65195,0,
01/12/07 06:00:00,-30.69472,0,
01/12/07 09:00:00,-25.37279,0,
01/12/07 12:00:00,-22.56187,151.59375,
01/12/07 15:00:00,-21.4994,221.88375,
01/12/07 18:00:00,-23.62281,11.6325,
01/12/07 21:00:00,-21.99657,0,
01/13/07 00:00:00,-22.01752,0,
01/13/07 03:00:00,-21.57918,0,
01/13/07 06:00:00,-20.94074,0,
01/13/07 09:00:00,-24.11761,0,
01/13/07 12:00:00,-24.31,149.61375,
01/13/07 15:00:00,-24.50672,227.82375,
01/13/07 18:00:00,-24.94457,10.1475,
01/13/07 21:00:00,-23.7992,0,
01/14/07 00:00:00,-22.11251,0,
01/14/07 03:00:00,-21.5553,0,
01/14/07 06:00:00,-21.87565,0,
01/14/07 09:00:00,-22.61136,0,
01/14/07 12:00:00,-21.88874,132.28875,
01/14/07 15:00:00,-21.57961,187.72875,
01/14/07 18:00:00,-22.07975,9.6525,
01/14/07 21:00:00,-23.68088,0,
01/15/07 00:00:00,-25.81008,0,
01/15/07 03:00:00,-27.98032,0,
01/15/07 06:00:00,-28.1831,0,
01/15/07 09:00:00,-25.05616,0,
01/15/07 12:00:00,-22.69448,168.795,
01/15/07 15:00:00,-21.87354,245.14875,
01/15/07 18:00:00,-23.69956,14.97375,
01/15/07 21:00:00,-25.84571,0,
01/16/07 00:00:00,-27.25658,0,
01/16/07 03:00:00,-27.48463,0,
01/16/07 06:00:00,-28.77169,0,
01/16/07 09:00:00,-30.87037,0,
01/16/07 12:00:00,-26.58184,209.50875,
01/16/07 15:00:00,-25.30678,288.21375,
01/16/07 18:00:00,-27.21612,19.8,
01/16/07 21:00:00,-23.57355,0,
01/17/07 00:00:00,-22.67182,0,
01/17/07 03:00:00,-22.10197,0,
01/17/07 06:00:00,-21.0953,0,
01/17/07 09:00:00,-19.53365,0,
01/17/07 12:00:00,-18.06702,87.73875,
01/17/07 15:00:00,-18.89178,124.12125,
01/17/07 18:00:00,-20.95128,8.53875,
01/17/07 21:00:00,-20.26458,0,
01/18/07 00:00:00,-21.61007,0,
01/18/07 03:00:00,-22.79624,0,
01/18/07 06:00:00,-25.88848,0,
01/18/07 09:00:00,-28.58883,0,
01/18/07 12:00:00,-27.82354,238.095,
01/18/07 15:00:00,-28.23862,338.58,
01/18/07 18:00:00,-32.97637,24.75,
01/18/07 21:00:00,-29.49578,0,
01/19/07 00:00:00,-28.51781,0,
01/19/07 03:00:00,-26.86608,0,
01/19/07 06:00:00,-25.81284,0,
01/19/07 09:00:00,-23.06811,0,
01/19/07 12:00:00,-20.21062,177.9525,
01/19/07 15:00:00,-18.74601,260.74125,
01/19/07 18:00:00,-19.50931,19.8,
01/19/07 21:00:00,-20.9257,0,
01/20/07 00:00:00,-20.60596,0,
01/20/07 03:00:00,-20.27955,0,
01/20/07 06:00:00,-19.60544,0,
01/20/07 09:00:00,-19.96551,0.12375,
01/20/07 12:00:00,-18.02209,159.6375,
01/20/07 15:00:00,-17.15562,222.37875,
01/20/07 18:00:00,-17.44425,17.325,
01/20/07 21:00:00,-18.4854,0,
01/21/07 00:00:00,-18.40728,0,
01/21/07 03:00:00,-18.78153,0,
01/21/07 06:00:00,-18.65169,0,
01/21/07 09:00:00,-19.3238,0.12375,
01/21/07 12:00:00,-17.88679,180.4275,
01/21/07 15:00:00,-17.53594,211.73625,
01/21/07 18:00:00,-18.999,18.68625,
01/21/07 21:00:00,-17.887,0,
01/22/07 00:00:00,-18.30215,0,
01/22/07 03:00:00,-18.87639,0,
01/22/07 06:00:00,-19.76191,0,
01/22/07 09:00:00,-19.67733,0.2475,
01/22/07 12:00:00,-18.79218,164.21625,
01/22/07 15:00:00,-18.57789,235.8675,
01/22/07 18:00:00,-19.48243,22.275,
01/22/07 21:00:00,-22.25245,0,
01/23/07 00:00:00,-22.81356,0,
01/23/07 03:00:00,-23.19329,0,
01/23/07 06:00:00,-23.61005,0,
01/23/07 09:00:00,-25.42377,0.495,
01/23/07 12:00:00,-23.80355,216.19125,
01/23/07 15:00:00,-22.62423,314.0775,
01/23/07 18:00:00,-24.2848,30.81375,
01/23/07 21:00:00,-25.41784,0,
01/24/07 00:00:00,-25.91974,0,
01/24/07 03:00:00,-25.75953,0,
01/24/07 06:00:00,-27.72056,0,
01/24/07 09:00:00,-27.02874,0.99,
01/24/07 12:00:00,-23.57488,250.965,
01/24/07 15:00:00,-21.09818,320.265,
01/24/07 18:00:00,-20.25495,26.60625,
01/24/07 21:00:00,-19.89135,0,
01/25/07 00:00:00,-18.99961,0,
01/25/07 03:00:00,-18.37943,0,
01/25/07 06:00:00,-18.80948,0,
01/25/07 09:00:00,-18.70832,0.99,
01/25/07 12:00:00,-16.65641,219.5325,
01/25/07 15:00:00,-16.2739,305.04375,
01/25/07 18:00:00,-17.56927,36.135,
01/25/07 21:00:00,-18.65365,0,
01/26/07 00:00:00,-19.25222,0,
01/26/07 03:00:00,-19.98018,0,
01/26/07 06:00:00,-20.6917,0,
01/26/07 09:00:00,-25.12365,1.7325,
01/26/07 12:00:00,-23.11391,300.2175,
01/26/07 15:00:00,-23.13666,424.83375,
01/26/07 18:00:00,-27.6359,50.49,
01/26/07 21:00:00,-29.18079,0,
01/27/07 00:00:00,-30.14577,0,
